,Variable 1,Variable 2,Correlation
444,"5. In a semester, how often have you had poor appetite or overeating? ","7. In a semester, how often are you able to control irritations in your academic / university affairs? ",0.0433154103
445,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","7. In a semester, how often are you able to control irritations in your academic / university affairs? ",0.07301744127
446,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","7. In a semester, how often are you able to control irritations in your academic / university affairs? ",0.06243672501
447,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","7. In a semester, how often are you able to control irritations in your academic / university affairs? ",0.05123546314
448,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","7. In a semester, how often are you able to control irritations in your academic / university affairs? ",0.08548537054
449,Depression Value,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ",0.0585796893
450,Anxiety_is_missing,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ",
451,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","8. In a semester, how often you felt as if your academic performance was on top?",0.1582317604
452,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","8. In a semester, how often you felt as if your academic performance was on top?",0.04563840642
453,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","8. In a semester, how often you felt as if your academic performance was on top?",0.04968650397
454,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","8. In a semester, how often you felt as if your academic performance was on top?",0.1420778962
455,"5. In a semester, how often have you worried too much about academic affairs? ","8. In a semester, how often you felt as if your academic performance was on top?",0.105317869
456,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","8. In a semester, how often you felt as if your academic performance was on top?",0.05612156353
457,"7. In a semester, how often have you felt afraid, as if something awful might happen?","8. In a semester, how often you felt as if your academic performance was on top?",0.1079833388
458,Anxiety Value,"8. In a semester, how often you felt as if your academic performance was on top?",0.1196577463
459,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","8. In a semester, how often you felt as if your academic performance was on top?",0.1260620178
460,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","8. In a semester, how often you felt as if your academic performance was on top?",0.1407310477
461,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","8. In a semester, how often you felt as if your academic performance was on top?",0.09882512453
462,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","8. In a semester, how often you felt as if your academic performance was on top?",0.1160697449
463,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","8. In a semester, how often you felt as if your academic performance was on top?",0.4125283243
464,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","8. In a semester, how often you felt as if your academic performance was on top?",0.4699731118
465,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","8. In a semester, how often you felt as if your academic performance was on top?",0.3839419309
466,"8. In a semester, how often you felt as if your academic performance was on top?","8. In a semester, how often you felt as if your academic performance was on top?",1
467,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","8. In a semester, how often you felt as if your academic performance was on top?",0.0305479521
468,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","8. In a semester, how often you felt as if your academic performance was on top?",0.08167990207
469,Stress Value,"8. In a semester, how often you felt as if your academic performance was on top?",0.4721049474
470,"1. In a semester, how often have you had little interest or pleasure in doing things?","8. In a semester, how often you felt as if your academic performance was on top?",-0.09032918965
471,"2. In a semester, how often have you been feeling down, depressed or hopeless?","8. In a semester, how often you felt as if your academic performance was on top?",0.1623189412
472,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","8. In a semester, how often you felt as if your academic performance was on top?",0.1125413548
473,"4. In a semester, how often have you been feeling tired or having little energy? ","8. In a semester, how often you felt as if your academic performance was on top?",0.07261544467
474,"5. In a semester, how often have you had poor appetite or overeating? ","8. In a semester, how often you felt as if your academic performance was on top?",0.08570017861
475,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","8. In a semester, how often you felt as if your academic performance was on top?",0.2091181356
476,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","8. In a semester, how often you felt as if your academic performance was on top?",0.1359566289
477,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","8. In a semester, how often you felt as if your academic performance was on top?",0.0716347956
478,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","8. In a semester, how often you felt as if your academic performance was on top?",0.09261785688
479,Depression Value,"8. In a semester, how often you felt as if your academic performance was on top?",0.1358195425
480,Anxiety_is_missing,"8. In a semester, how often you felt as if your academic performance was on top?",
481,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.4620667741
482,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.3289432982
483,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.3655117985
484,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.4721861664
485,"5. In a semester, how often have you worried too much about academic affairs? ","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.4748804734
486,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.4206114561
487,"7. In a semester, how often have you felt afraid, as if something awful might happen?","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.4677710719
488,Anxiety Value,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.5416814138
489,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.4815632866
490,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.5129987666
491,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.5329895463
492,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.5275260103
493,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",-0.08240167846
494,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.03658887974
495,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",-0.05957886531
496,"8. In a semester, how often you felt as if your academic performance was on top?","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.0305479521
497,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",1
498,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.6229357294
499,Stress Value,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.6277329843
500,"1. In a semester, how often have you had little interest or pleasure in doing things?","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.1612727287
501,"2. In a semester, how often have you been feeling down, depressed or hopeless?","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.4401467603
502,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.3410279909
503,"4. In a semester, how often have you been feeling tired or having little energy? ","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.404036524
504,"5. In a semester, how often have you had poor appetite or overeating? ","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.3196720944
505,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.4404538132
506,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.3599818653
507,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.3317077505
508,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.2947934188
509,Depression Value,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",0.483245071
510,Anxiety_is_missing,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",
511,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.5375439664
512,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.3715369628
513,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.412267589
514,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.5313371915
515,"5. In a semester, how often have you worried too much about academic affairs? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.4972391247
516,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.4391473852
517,"7. In a semester, how often have you felt afraid, as if something awful might happen?","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.4792629277
518,Anxiety Value,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.5911471035
519,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.5275875451
520,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.5871386691
521,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.5960952619
522,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.6368658279
523,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",-0.004879285224
524,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.09237930068
525,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",-0.02319348238
526,"8. In a semester, how often you felt as if your academic performance was on top?","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.08167990207
527,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.6229357294
528,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",1
529,Stress Value,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.7138911398
530,"1. In a semester, how often have you had little interest or pleasure in doing things?","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.1613193411
531,"2. In a semester, how often have you been feeling down, depressed or hopeless?","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.4856205958
532,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.3863472494
533,"4. In a semester, how often have you been feeling tired or having little energy? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.4312956845
534,"5. In a semester, how often have you had poor appetite or overeating? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.3667091382
535,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.470306894
536,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.4200456552
537,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.333545025
538,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.2880380053
539,Depression Value,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",0.5221349999
540,Anxiety_is_missing,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",
541,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",Stress Value,0.605473423
542,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",Stress Value,0.3840819541
543,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ",Stress Value,0.4348058966
544,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",Stress Value,0.5776695928
545,"5. In a semester, how often have you worried too much about academic affairs? ",Stress Value,0.5426580736
546,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",Stress Value,0.4646850696
547,"7. In a semester, how often have you felt afraid, as if something awful might happen?",Stress Value,0.5289238062
548,Anxiety Value,Stress Value,0.6397734688
549,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",Stress Value,0.7059914091
550,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",Stress Value,0.7404635212
551,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ",Stress Value,0.7096002711
552,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",Stress Value,0.7294106877
553,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",Stress Value,0.3474064789
554,"6. In a semester, how often you felt as if things in your academic life is going on your way? ",Stress Value,0.4847169164
555,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ",Stress Value,0.3417225197
556,"8. In a semester, how often you felt as if your academic performance was on top?",Stress Value,0.4721049474
557,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",Stress Value,0.6277329843
558,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",Stress Value,0.7138911398
559,Stress Value,Stress Value,1
560,"1. In a semester, how often have you had little interest or pleasure in doing things?",Stress Value,0.08087342108
561,"2. In a semester, how often have you been feeling down, depressed or hopeless?",Stress Value,0.5725117024
562,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",Stress Value,0.437703693
563,"4. In a semester, how often have you been feeling tired or having little energy? ",Stress Value,0.463771316
564,"5. In a semester, how often have you had poor appetite or overeating? ",Stress Value,0.3827937668
565,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",Stress Value,0.5660733433
566,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",Stress Value,0.4769122159
567,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",Stress Value,0.3658863616
568,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",Stress Value,0.3711579001
569,Depression Value,Stress Value,0.5829314684
570,Anxiety_is_missing,Stress Value,
571,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","1. In a semester, how often have you had little interest or pleasure in doing things?",0.1787230247
572,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","1. In a semester, how often have you had little interest or pleasure in doing things?",0.1873946781
573,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","1. In a semester, how often have you had little interest or pleasure in doing things?",0.2053561437
574,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","1. In a semester, how often have you had little interest or pleasure in doing things?",0.2048512359
575,"5. In a semester, how often have you worried too much about academic affairs? ","1. In a semester, how often have you had little interest or pleasure in doing things?",0.190280588
576,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","1. In a semester, how often have you had little interest or pleasure in doing things?",0.1895605513
577,"7. In a semester, how often have you felt afraid, as if something awful might happen?","1. In a semester, how often have you had little interest or pleasure in doing things?",0.2093998809
578,Anxiety Value,"1. In a semester, how often have you had little interest or pleasure in doing things?",0.2477882077
579,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","1. In a semester, how often have you had little interest or pleasure in doing things?",0.1316218416
580,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","1. In a semester, how often have you had little interest or pleasure in doing things?",0.1280835573
581,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","1. In a semester, how often have you had little interest or pleasure in doing things?",0.1132853853
582,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","1. In a semester, how often have you had little interest or pleasure in doing things?",0.1091856159
583,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","1. In a semester, how often have you had little interest or pleasure in doing things?",-0.08356567406
584,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","1. In a semester, how often have you had little interest or pleasure in doing things?",-0.08126095719
585,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","1. In a semester, how often have you had little interest or pleasure in doing things?",-0.1120277379
586,"8. In a semester, how often you felt as if your academic performance was on top?","1. In a semester, how often have you had little interest or pleasure in doing things?",-0.09032918965
587,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","1. In a semester, how often have you had little interest or pleasure in doing things?",0.1612727287
588,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","1. In a semester, how often have you had little interest or pleasure in doing things?",0.1613193411
589,Stress Value,"1. In a semester, how often have you had little interest or pleasure in doing things?",0.08087342108
590,"1. In a semester, how often have you had little interest or pleasure in doing things?","1. In a semester, how often have you had little interest or pleasure in doing things?",1
591,"2. In a semester, how often have you been feeling down, depressed or hopeless?","1. In a semester, how often have you had little interest or pleasure in doing things?",0.2670056581
592,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","1. In a semester, how often have you had little interest or pleasure in doing things?",0.2181925524
593,"4. In a semester, how often have you been feeling tired or having little energy? ","1. In a semester, how often have you had little interest or pleasure in doing things?",0.219045015
594,"5. In a semester, how often have you had poor appetite or overeating? ","1. In a semester, how often have you had little interest or pleasure in doing things?",0.204927907
595,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","1. In a semester, how often have you had little interest or pleasure in doing things?",0.2122797454
596,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","1. In a semester, how often have you had little interest or pleasure in doing things?",0.2163908381
597,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","1. In a semester, how often have you had little interest or pleasure in doing things?",0.2176353012
598,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","1. In a semester, how often have you had little interest or pleasure in doing things?",0.218945655
599,Depression Value,"1. In a semester, how often have you had little interest or pleasure in doing things?",0.4226318887
600,Anxiety_is_missing,"1. In a semester, how often have you had little interest or pleasure in doing things?",
601,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.592704516
602,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.4261267977
603,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.4945476887
604,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.5889611514
605,"5. In a semester, how often have you worried too much about academic affairs? ","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.6162507896
606,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.5597378116
607,"7. In a semester, how often have you felt afraid, as if something awful might happen?","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.6252545879
608,Anxiety Value,"2. In a semester, how often have you been feeling down, depressed or hopeless?",0.707107414
609,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.4616011924
610,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.4710703629
611,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.4939060037
612,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.4819528807
613,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.07102310086
614,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.1723714519
615,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.08981537955
616,"8. In a semester, how often you felt as if your academic performance was on top?","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.1623189412
617,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.4401467603
618,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.4856205958
619,Stress Value,"2. In a semester, how often have you been feeling down, depressed or hopeless?",0.5725117024
620,"1. In a semester, how often have you had little interest or pleasure in doing things?","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.2670056581
621,"2. In a semester, how often have you been feeling down, depressed or hopeless?","2. In a semester, how often have you been feeling down, depressed or hopeless?",1
622,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.553748299
623,"4. In a semester, how often have you been feeling tired or having little energy? ","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.6163518788
624,"5. In a semester, how often have you had poor appetite or overeating? ","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.4837891343
625,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.6573466841
626,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.558409996
627,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.5183776163
628,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","2. In a semester, how often have you been feeling down, depressed or hopeless?",0.5167593161
629,Depression Value,"2. In a semester, how often have you been feeling down, depressed or hopeless?",0.8083713905
630,Anxiety_is_missing,"2. In a semester, how often have you been feeling down, depressed or hopeless?",
631,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.4403352444
632,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.3635429936
633,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.4384299364
634,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.443092062
635,"5. In a semester, how often have you worried too much about academic affairs? ","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.4520734476
636,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.4429765143
637,"7. In a semester, how often have you felt afraid, as if something awful might happen?","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.4826707628
638,Anxiety Value,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.5553277484
639,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.3645135066
640,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.386529236
641,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.3672295513
642,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.4015840692
643,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.02162103631
644,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.1079910846
645,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.04808950484
646,"8. In a semester, how often you felt as if your academic performance was on top?","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.1125413548
647,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.3410279909
648,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.3863472494
649,Stress Value,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.437703693
650,"1. In a semester, how often have you had little interest or pleasure in doing things?","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.2181925524
651,"2. In a semester, how often have you been feeling down, depressed or hopeless?","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.553748299
652,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",1
653,"4. In a semester, how often have you been feeling tired or having little energy? ","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.5649635074
654,"5. In a semester, how often have you had poor appetite or overeating? ","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.4930069452
655,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.5061571484
656,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.5003617055
657,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",0.4419978258
