,1  Age,2  Gender,3  University,4  Department,5  Academic Year,6  Current CGPA,7  Did you receive a waiver or scholarship at your university?," 1  In a semester, how often you felt nervous, anxious or on edge due to academic pressure?  "," 2  In a semester, how often have you been unable to stop worrying about your academic affairs?  "," 3  In a semester, how often have you had trouble relaxing due to academic pressure?  "," 4  In a semester, how often have you been easily annoyed or irritated because of academic pressure? "," 5  In a semester, how often have you worried too much about academic affairs?  "," 6  In a semester, how often have you been so restless due to academic pressure that it is hard to sit still? "," 7  In a semester, how often have you felt afraid, as if something awful might happen? ",Anxiety Value,Anxiety Label," 1  In a semester, how often have you felt upset due to something that happened in your academic affairs?  "," 2  In a semester, how often you felt as if you were unable to control important things in your academic affairs? "," 3  In a semester, how often you felt nervous and stressed because of academic pressure?  "," 4  In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e g, assignments, quiz, exams)  "," 5  In a semester, how often you felt confident about your ability to handle your academic / university problems? "," 6  In a semester, how often you felt as if things in your academic life is going on your way?  "," 7  In a semester, how often are you able to control irritations in your academic / university affairs?  "," 8  In a semester, how often you felt as if your academic performance was on top? "," 9  In a semester, how often you got angered due to bad performance or low grades that is beyond your control?  "," 10  In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them?  ",Stress Value,Stress Label," 1  In a semester, how often have you had little interest or pleasure in doing things? "," 2  In a semester, how often have you been feeling down, depressed or hopeless? "," 3  In a semester, how often have you had trouble falling or staying asleep, or sleeping too much?  "," 4  In a semester, how often have you been feeling tired or having little energy?  "," 5  In a semester, how often have you had poor appetite or overeating?  "," 6  In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down?  "," 7  In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television?  "," 8  In a semester, how often have you moved or spoke too slowly for other people to notice? Or youve been moving a lot more than usual because youve been restless?  "," 9  In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself?  ",Depression Value,Depression Label,Anxiety_is_missing
1179,23-26,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,2.50 - 2.99,No,1,1,1,1,1,1,1,7,Mild Anxiety,2,2,2,1,3,3,3,3,2,1,22,Moderate Stress,1,1,1,1,1,1,1,1,1,9,Mild Depression,FALSE
1180,23-26,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,2.50 - 2.99,No,2,2,2,1,2,1,1,11,Moderate Anxiety,3,2,3,2,2,2,1,2,2,2,21,Moderate Stress,1,3,3,2,1,3,2,2,2,19,Moderately Severe Depression,FALSE
1181,23-26,Female,DUET,Engineering - Civil Engineering / Similar to CE,Second Year or Equivalent,2.50 - 2.99,No,2,2,2,3,3,3,3,18,Severe Anxiety,2,2,2,2,1,2,2,4,2,2,21,Moderate Stress,1,3,2,2,3,3,2,0,2,18,Moderately Severe Depression,FALSE
1182,23-26,Female,DU,Environmental and Life Sciences,Fourth Year or Equivalent,3.40 - 3.79,No,1,1,2,1,0,3,0,8,Mild Anxiety,2,3,4,2,2,1,2,1,1,2,20,Moderate Stress,2,1,1,2,0,0,0,1,0,7,Mild Depression,FALSE
1183,18-22,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,3.40 - 3.79,No,0,1,1,0,0,0,0,2,Minimal Anxiety,0,0,0,0,4,4,3,2,2,2,17,Moderate Stress,0,0,0,0,1,1,0,1,0,3,Minimal Depression,FALSE
1184,18-22,Male,IUB,Other,Second Year or Equivalent,2.50 - 2.99,No,1,2,2,2,2,1,1,11,Moderate Anxiety,2,2,2,2,2,2,2,2,2,2,20,Moderate Stress,1,1,1,1,1,1,1,1,1,9,Mild Depression,FALSE
1185,18-22,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,No,2,1,1,1,1,1,1,8,Mild Anxiety,1,3,2,2,2,2,2,2,2,2,20,Moderate Stress,1,1,1,1,1,1,1,1,1,9,Mild Depression,FALSE
1186,23-26,Female,DU,Other,Fourth Year or Equivalent,3.40 - 3.79,No,2,0,0,2,3,3,2,12,Moderate Anxiety,1,2,4,3,4,2,2,4,0,4,26,Moderate Stress,1,2,0,3,1,1,0,2,0,10,Moderate Depression,FALSE
1187,18-22,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.80 - 4.00,Yes,1,1,1,2,2,2,2,11,Moderate Anxiety,3,3,3,3,0,2,2,1,2,2,21,Moderate Stress,1,2,3,2,1,2,2,2,1,16,Moderately Severe Depression,FALSE
1188,27-30,Male,IUB,Environmental and Life Sciences,Fourth Year or Equivalent,3.40 - 3.79,No,1,1,1,1,1,1,1,7,Mild Anxiety,2,2,2,2,2,2,2,2,2,2,20,Moderate Stress,1,1,1,1,1,1,1,1,0,8,Mild Depression,FALSE
1189,23-26,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,2.50 - 2.99,No,3,2,3,3,2,1,3,17,Severe Anxiety,2,1,2,2,0,0,4,4,2,0,17,Moderate Stress,1,3,3,3,3,3,3,3,3,25,Severe Depression,FALSE
1190,23-26,Female,IUB,Business and Entrepreneurship Studies,Fourth Year or Equivalent,Below 2.50,No,2,2,2,1,2,2,1,12,Moderate Anxiety,3,3,4,3,2,3,2,4,4,4,32,High Perceived Stress,1,2,3,1,2,3,1,1,1,15,Moderately Severe Depression,FALSE
1191,18-22,Female,IUB,Other,First Year or Equivalent,3.40 - 3.79,No,2,2,2,0,0,0,1,7,Mild Anxiety,0,0,2,2,3,3,3,2,2,2,19,Moderate Stress,0,0,0,0,0,2,1,0,0,3,Minimal Depression,FALSE
1192,23-26,Male,IUB,Environmental and Life Sciences,Fourth Year or Equivalent,2.50 - 2.99,No,2,2,2,2,2,2,2,14,Moderate Anxiety,2,2,2,2,2,2,2,2,2,2,20,Moderate Stress,2,2,2,2,2,2,2,2,2,18,Moderately Severe Depression,FALSE
1193,23-26,Female,DU,Biological Sciences,Fourth Year or Equivalent,3.40 - 3.79,No,3,0,0,3,3,3,3,15,Severe Anxiety,4,4,4,4,0,4,4,2,4,4,34,High Perceived Stress,0,3,3,3,3,3,3,3,3,24,Severe Depression,FALSE
1194,23-26,Male,DU,Biological Sciences,Fourth Year or Equivalent,3.40 - 3.79,No,2,1,2,1,1,2,1,10,Moderate Anxiety,2,2,3,3,1,3,2,2,4,2,24,Moderate Stress,1,2,2,0,2,1,1,1,2,12,Moderate Depression,FALSE
1195,23-26,Male,DU,Biological Sciences,Fourth Year or Equivalent,3.40 - 3.79,No,3,3,0,3,3,1,3,16,Severe Anxiety,2,2,2,2,2,4,3,4,2,2,25,Moderate Stress,2,2,1,1,1,1,1,0,0,9,Mild Depression,FALSE
1196,23-26,Female,DU,Biological Sciences,Fourth Year or Equivalent,2.50 - 2.99,No,2,0,2,2,2,2,2,12,Moderate Anxiety,1,2,1,2,2,2,4,4,0,2,20,Moderate Stress,0,2,2,2,1,1,1,1,1,11,Moderate Depression,FALSE
1197,23-26,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,Below 2.50,No,1,1,2,2,2,2,2,12,Moderate Anxiety,2,4,3,4,1,2,1,2,3,2,24,Moderate Stress,1,3,1,1,1,3,0,1,1,12,Moderate Depression,FALSE
1198,23-26,Female,DU,Biological Sciences,Fourth Year or Equivalent,3.40 - 3.79,No,2,1,3,2,2,2,2,14,Moderate Anxiety,2,2,2,2,1,3,3,3,2,2,22,Moderate Stress,1,2,1,1,1,1,1,1,0,9,Mild Depression,FALSE
1199,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,3.40 - 3.79,No,2,3,3,3,3,2,3,19,Severe Anxiety,3,4,4,2,2,2,3,4,4,3,31,High Perceived Stress,0,3,0,3,1,3,3,2,3,18,Moderately Severe Depression,FALSE
1200,23-26,Male,DUET,Engineering - Other,Third Year or Equivalent,3.00 - 3.39,Yes,3,2,2,3,3,3,3,19,Severe Anxiety,1,2,1,2,2,3,4,3,2,2,22,Moderate Stress,2,3,3,3,3,3,3,3,3,26,Severe Depression,FALSE
1201,23-26,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.00 - 3.39,No,3,3,3,3,3,3,0,18,Severe Anxiety,0,0,4,4,0,4,4,4,2,0,22,Moderate Stress,3,3,0,3,3,3,3,3,3,24,Severe Depression,FALSE
1202,18-22,Male,IUB,Business and Entrepreneurship Studies,First Year or Equivalent,2.50 - 2.99,No,1,1,3,1,0,1,0,7,Mild Anxiety,3,1,3,2,2,2,2,2,2,2,21,Moderate Stress,1,2,3,3,2,3,0,3,1,18,Moderately Severe Depression,FALSE
1203,23-26,Female,DU,Biological Sciences,Fourth Year or Equivalent,3.40 - 3.79,No,1,1,1,1,1,3,1,9,Mild Anxiety,4,1,3,2,2,2,1,1,3,2,21,Moderate Stress,1,1,3,2,1,1,1,0,0,10,Moderate Depression,FALSE
1204,18-22,Male,IUB,Business and Entrepreneurship Studies,First Year or Equivalent,2.50 - 2.99,No,1,1,2,2,2,2,1,11,Moderate Anxiety,2,2,2,2,1,1,2,1,3,2,18,Moderate Stress,1,1,1,1,1,1,1,1,0,8,Mild Depression,FALSE
1205,23-26,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.00 - 3.39,No,1,1,1,1,1,1,0,6,Mild Anxiety,2,1,2,1,1,2,1,4,2,3,19,Moderate Stress,2,1,1,1,1,2,0,0,0,8,Mild Depression,FALSE
1206,18-22,Female,IUT,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,3.40 - 3.79,No,3,3,3,3,3,3,3,21,Severe Anxiety,4,4,4,4,4,4,3,4,4,4,39,High Perceived Stress,2,3,3,3,3,3,3,3,3,26,Severe Depression,FALSE
1207,23-26,Female,IUB,Environmental and Life Sciences,First Year or Equivalent,3.40 - 3.79,No,2,1,1,1,2,1,1,9,Mild Anxiety,2,2,2,2,2,3,2,2,2,2,21,Moderate Stress,1,1,1,1,0,1,1,0,0,6,Mild Depression,FALSE
1208,23-26,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.80 - 4.00,Yes,2,3,2,2,2,2,3,16,Severe Anxiety,3,4,3,4,2,3,1,2,4,4,30,High Perceived Stress,0,2,1,3,2,2,3,1,0,14,Moderate Depression,FALSE
1209,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.80 - 4.00,No,2,2,2,2,3,3,3,17,Severe Anxiety,4,4,4,4,4,3,3,3,4,3,36,High Perceived Stress,2,2,1,3,1,2,2,2,2,17,Moderately Severe Depression,FALSE
1210,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,Yes,3,3,3,3,3,3,3,21,Severe Anxiety,3,3,3,3,2,2,2,2,3,2,25,Moderate Stress,3,3,3,3,3,3,3,3,3,27,Severe Depression,FALSE
1211,18-22,Female,IUT,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,Yes,3,3,3,1,2,3,3,18,Severe Anxiety,4,2,3,3,2,3,1,2,2,2,24,Moderate Stress,1,2,2,2,2,3,2,1,0,15,Moderately Severe Depression,FALSE
1212,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,No,1,1,1,1,2,2,2,10,Moderate Anxiety,2,1,3,3,0,2,0,2,2,2,17,Moderate Stress,1,2,2,2,1,1,1,1,1,12,Moderate Depression,FALSE
1213,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,No,2,1,2,2,2,1,1,11,Moderate Anxiety,2,3,3,2,1,1,1,2,3,2,20,Moderate Stress,2,2,1,2,1,1,2,2,1,14,Moderate Depression,FALSE
1214,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,No,1,2,1,0,0,2,0,6,Mild Anxiety,1,3,2,1,3,2,0,2,2,0,16,Moderate Stress,2,0,0,2,0,1,2,0,0,7,Mild Depression,FALSE
1215,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.80 - 4.00,Yes,2,2,1,1,1,1,1,9,Mild Anxiety,3,4,2,3,2,3,2,3,3,3,28,High Perceived Stress,1,1,2,2,1,3,3,1,3,17,Moderately Severe Depression,FALSE
1216,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.40 - 3.79,No,1,1,1,1,2,1,2,9,Mild Anxiety,4,3,2,1,1,4,2,2,1,2,22,Moderate Stress,1,3,1,1,0,0,1,1,0,8,Mild Depression,FALSE
1217,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.80 - 4.00,Yes,1,1,3,1,1,3,0,10,Moderate Anxiety,3,3,2,2,1,2,2,2,2,0,19,Moderate Stress,1,1,0,1,1,1,1,2,0,8,Mild Depression,FALSE
1218,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,No,3,3,3,3,3,3,2,20,Severe Anxiety,4,4,4,4,4,4,3,4,4,4,39,High Perceived Stress,1,3,1,3,1,3,3,3,1,19,Moderately Severe Depression,FALSE
1219,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,No,2,0,1,3,3,1,3,13,Moderate Anxiety,4,3,3,3,3,4,2,4,2,4,32,High Perceived Stress,2,3,3,3,1,3,1,2,2,20,Severe Depression,FALSE
1220,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,3.40 - 3.79,No,1,1,2,1,2,2,1,10,Moderate Anxiety,2,2,3,3,2,2,1,2,2,2,21,Moderate Stress,1,1,0,1,0,1,0,1,0,5,Mild Depression,FALSE
1221,18-22,Female,IUT,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,No,3,3,3,3,3,3,3,21,Severe Anxiety,4,3,4,4,3,3,3,3,4,4,35,High Perceived Stress,2,3,3,3,3,3,3,3,3,26,Severe Depression,FALSE
1222,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.80 - 4.00,No,2,1,1,2,3,3,1,13,Moderate Anxiety,4,3,2,2,1,1,2,2,2,2,21,Moderate Stress,1,1,3,3,1,1,2,3,2,17,Moderately Severe Depression,FALSE
1223,18-22,Male,IUT,Other,Third Year or Equivalent,3.40 - 3.79,No,3,2,3,2,3,3,1,17,Severe Anxiety,2,2,3,4,1,0,2,0,3,4,21,Moderate Stress,1,3,2,1,3,2,1,2,3,18,Moderately Severe Depression,FALSE
1224,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,Yes,1,2,2,1,1,3,2,12,Moderate Anxiety,4,2,4,3,2,1,2,1,3,2,24,Moderate Stress,1,1,2,2,3,2,1,1,1,14,Moderate Depression,FALSE
1225,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,No,2,3,3,3,3,1,1,16,Severe Anxiety,2,3,3,3,3,2,1,3,3,3,26,Moderate Stress,2,2,1,1,1,1,1,1,1,11,Moderate Depression,FALSE
1226,23-26,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,3.00 - 3.39,No,1,1,3,1,3,3,2,14,Moderate Anxiety,2,2,3,3,1,2,2,2,3,2,22,Moderate Stress,1,3,1,3,1,2,2,0,0,13,Moderate Depression,FALSE
1227,18-22,Female,IUB,Environmental and Life Sciences,Second Year or Equivalent,3.40 - 3.79,Yes,1,1,1,1,0,1,1,6,Mild Anxiety,2,2,2,2,2,3,2,2,2,2,21,Moderate Stress,2,1,1,1,1,1,1,1,0,9,Mild Depression,FALSE
1228,23-26,Female,DU,Biological Sciences,Fourth Year or Equivalent,3.40 - 3.79,No,3,3,3,2,2,2,2,17,Severe Anxiety,2,2,4,4,2,3,2,4,4,3,30,High Perceived Stress,1,3,3,3,2,3,2,2,1,20,Severe Depression,FALSE
1229,18-22,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,No,1,0,3,1,2,0,1,8,Mild Anxiety,0,0,2,3,1,1,1,1,4,3,16,Moderate Stress,1,0,1,3,2,1,0,0,0,8,Mild Depression,FALSE
1230,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,3.40 - 3.79,No,3,3,3,3,3,3,3,21,Severe Anxiety,4,4,4,4,4,4,3,4,4,4,39,High Perceived Stress,3,3,3,3,3,3,3,3,0,24,Severe Depression,FALSE
1231,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,Other,No,2,0,2,2,2,1,3,12,Moderate Anxiety,4,4,3,4,4,3,1,4,4,4,35,High Perceived Stress,3,3,3,3,2,3,2,2,0,21,Severe Depression,FALSE
1232,23-26,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,Below 2.50,No,2,2,2,1,1,1,2,11,Moderate Anxiety,2,3,4,2,2,2,1,2,2,2,22,Moderate Stress,1,2,2,2,2,2,2,2,2,17,Moderately Severe Depression,FALSE
1233,23-26,Male,DUET,Engineering - Mechanical Engineering / Similar to ME,Second Year or Equivalent,3.00 - 3.39,Yes,0,3,2,2,3,2,0,12,Moderate Anxiety,2,2,0,2,4,2,2,3,1,2,20,Moderate Stress,2,1,2,2,2,3,3,0,1,16,Moderately Severe Depression,FALSE
1234,18-22,Female,IUT,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,No,3,3,3,3,3,3,3,21,Severe Anxiety,0,0,4,0,4,4,4,4,3,4,27,High Perceived Stress,2,3,3,3,3,3,3,3,0,23,Severe Depression,FALSE
1235,18-22,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,1,2,2,2,2,1,1,11,Moderate Anxiety,2,1,1,1,1,1,1,1,2,1,12,Low Stress,1,1,1,1,1,1,1,1,0,8,Mild Depression,FALSE
1236,23-26,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,2.50 - 2.99,No,3,1,1,2,2,3,2,14,Moderate Anxiety,2,2,2,1,2,2,2,2,2,2,19,Moderate Stress,1,2,0,2,2,2,2,2,2,15,Moderately Severe Depression,FALSE
1237,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,No,3,3,3,3,3,3,3,21,Severe Anxiety,4,2,4,4,3,4,3,3,3,3,33,High Perceived Stress,1,3,0,3,2,3,3,3,0,18,Moderately Severe Depression,FALSE
1238,18-22,Male,IUB,Environmental and Life Sciences,Second Year or Equivalent,2.50 - 2.99,No,0,0,0,0,0,0,0,0,Minimal Anxiety,0,0,3,0,4,4,4,3,0,0,18,Moderate Stress,0,0,0,0,0,0,0,0,0,0,No Depression,FALSE
1239,18-22,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,3.80 - 4.00,Yes,0,1,2,0,1,0,2,6,Mild Anxiety,1,2,3,1,2,4,3,2,0,3,21,Moderate Stress,3,0,3,3,0,1,2,0,0,12,Moderate Depression,FALSE
1240,18-22,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.40 - 3.79,No,2,2,1,1,1,1,1,9,Mild Anxiety,2,2,2,2,2,4,2,2,2,2,22,Moderate Stress,1,2,1,2,1,2,3,1,3,16,Moderately Severe Depression,FALSE
1241,18-22,Male,UIU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.40 - 3.79,No,0,0,0,1,0,0,0,1,Minimal Anxiety,0,0,1,0,2,2,2,2,2,1,12,Low Stress,2,1,1,2,0,0,0,1,0,7,Mild Depression,FALSE
1242,18-22,Male,PSTU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,2.50 - 2.99,No,1,0,0,2,1,1,1,6,Mild Anxiety,1,0,2,0,3,3,4,2,1,1,17,Moderate Stress,0,1,2,2,0,1,0,1,2,9,Mild Depression,FALSE
1243,18-22,Female,PSTU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,2.50 - 2.99,No,0,0,0,0,0,0,0,0,Minimal Anxiety,0,0,1,1,3,3,3,3,1,1,16,Moderate Stress,1,0,0,0,0,0,0,0,0,1,Minimal Depression,FALSE
1244,18-22,Female,PSTU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.00 - 3.39,No,3,3,3,3,3,3,3,21,Severe Anxiety,3,3,3,4,0,1,2,3,4,3,26,Moderate Stress,3,3,3,3,3,3,3,3,3,27,Severe Depression,FALSE
1245,18-22,Female,PSTU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.40 - 3.79,No,1,1,1,1,1,1,1,7,Mild Anxiety,1,1,2,1,1,1,0,1,2,2,12,Low Stress,2,1,1,1,1,0,1,1,0,8,Mild Depression,FALSE
1246,23-26,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.40 - 3.79,No,1,1,1,1,1,1,1,7,Mild Anxiety,2,2,2,1,1,1,2,1,2,2,16,Moderate Stress,1,1,1,1,0,1,1,1,0,7,Mild Depression,FALSE
1247,18-22,Female,PSTU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.00 - 3.39,No,1,1,1,1,1,1,1,7,Mild Anxiety,2,2,2,2,1,1,2,2,2,2,18,Moderate Stress,1,1,1,1,1,1,1,1,0,8,Mild Depression,FALSE
1248,18-22,Male,PSTU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,2.50 - 2.99,No,2,1,2,2,2,1,2,12,Moderate Anxiety,3,3,3,2,1,1,1,2,4,3,23,Moderate Stress,2,2,2,2,2,2,2,2,2,18,Moderately Severe Depression,FALSE
1249,23-26,Male,BUET,Engineering - EEE/ ECE / Similar to EEE,Third Year or Equivalent,3.80 - 4.00,Yes,1,2,2,1,1,2,1,10,Moderate Anxiety,2,1,2,3,2,2,2,1,2,2,19,Moderate Stress,1,1,1,1,1,1,1,1,1,9,Mild Depression,FALSE
1250,18-22,Female,PSTU,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,3,0,0,3,3,3,3,15,Severe Anxiety,4,4,4,4,2,0,3,4,4,4,33,High Perceived Stress,0,3,3,3,3,3,3,3,0,21,Severe Depression,FALSE
1251,18-22,Female,PSTU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,2.50 - 2.99,No,1,1,1,2,1,2,2,10,Moderate Anxiety,2,2,2,2,2,2,2,3,3,2,22,Moderate Stress,1,1,2,2,1,2,1,1,0,11,Moderate Depression,FALSE
1252,23-26,Female,PSTU,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.40 - 3.79,No,1,1,0,2,1,0,0,5,Mild Anxiety,1,1,3,2,1,3,2,2,1,2,18,Moderate Stress,0,0,0,0,0,0,0,0,0,0,No Depression,FALSE
1253,18-22,Male,PSTU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.00 - 3.39,No,2,1,1,1,1,1,2,9,Mild Anxiety,4,3,2,2,2,2,2,3,2,2,24,Moderate Stress,1,2,1,2,1,1,1,1,1,11,Moderate Depression,FALSE
1254,18-22,Male,PSTU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.40 - 3.79,No,2,1,1,1,1,1,0,7,Mild Anxiety,1,1,2,1,2,2,3,3,1,1,17,Moderate Stress,1,0,1,1,1,1,0,2,1,8,Mild Depression,FALSE
1255,23-26,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.40 - 3.79,Yes,3,1,3,3,3,3,2,18,Severe Anxiety,1,2,3,2,3,2,2,2,2,2,21,Moderate Stress,0,2,0,3,1,1,3,0,2,12,Moderate Depression,FALSE
1256,23-26,Male,PSTU,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,2.50 - 2.99,No,1,3,1,1,2,1,0,9,Mild Anxiety,3,3,3,2,2,4,2,2,2,2,25,Moderate Stress,0,1,1,1,1,3,2,2,0,11,Moderate Depression,FALSE
1257,18-22,Male,PSTU,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,3,0,0,3,3,3,3,15,Severe Anxiety,4,4,4,4,2,2,3,3,4,4,34,High Perceived Stress,1,3,3,3,2,3,3,1,2,21,Severe Depression,FALSE
1258,18-22,Male,PSTU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.00 - 3.39,No,1,1,1,1,1,1,1,7,Mild Anxiety,2,2,1,1,1,2,3,3,3,2,20,Moderate Stress,0,0,0,0,0,0,0,0,0,0,No Depression,FALSE
1259,18-22,Male,PSTU,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,2.50 - 2.99,Yes,3,1,2,3,3,2,2,16,Severe Anxiety,2,3,3,4,3,3,2,3,4,2,29,High Perceived Stress,2,3,2,2,1,2,2,1,2,17,Moderately Severe Depression,FALSE
1260,18-22,Female,PSTU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.00 - 3.39,No,1,1,0,1,1,1,3,8,Mild Anxiety,2,2,2,2,1,2,2,3,3,2,21,Moderate Stress,1,0,1,1,1,1,3,3,0,11,Moderate Depression,FALSE
1261,18-22,Male,PSTU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.00 - 3.39,No,2,3,3,3,3,3,3,20,Severe Anxiety,4,3,4,4,4,4,4,4,4,4,39,High Perceived Stress,3,3,1,3,3,3,3,1,3,23,Severe Depression,FALSE
1262,18-22,Male,PSTU,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,2.50 - 2.99,No,2,3,2,3,1,1,2,14,Moderate Anxiety,3,2,3,3,1,2,2,3,2,2,23,Moderate Stress,1,1,1,2,1,1,1,1,1,10,Moderate Depression,FALSE
1263,23-26,Male,PSTU,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,2,1,1,1,3,2,2,12,Moderate Anxiety,2,3,3,2,2,2,2,3,2,3,24,Moderate Stress,2,3,3,2,0,1,1,2,1,15,Moderately Severe Depression,FALSE
1264,23-26,Male,PSTU,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.40 - 3.79,Yes,3,0,1,1,3,3,3,14,Moderate Anxiety,2,1,0,0,2,3,3,2,0,0,13,Low Stress,1,1,1,1,1,1,1,1,0,8,Mild Depression,FALSE
1265,23-26,Female,PSTU,Business and Entrepreneurship Studies,Third Year or Equivalent,3.00 - 3.39,No,2,2,2,2,3,1,1,13,Moderate Anxiety,2,2,3,3,2,3,1,2,4,4,26,Moderate Stress,1,3,1,1,1,1,2,1,0,11,Moderate Depression,FALSE
1266,23-26,Female,PSTU,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,3,3,3,3,3,3,3,21,Severe Anxiety,4,3,4,3,1,4,2,1,3,4,29,High Perceived Stress,3,3,2,2,2,2,3,3,3,23,Severe Depression,FALSE
1267,18-22,Female,PSTU,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,2.50 - 2.99,No,1,2,1,1,2,1,2,10,Moderate Anxiety,2,1,3,3,2,2,2,1,2,2,20,Moderate Stress,1,2,0,1,0,1,1,0,1,7,Mild Depression,FALSE
1268,23-26,Male,IUB,Environmental and Life Sciences,Other,2.50 - 2.99,Yes,2,3,1,3,3,3,3,18,Severe Anxiety,3,3,3,2,1,2,0,0,2,4,20,Moderate Stress,3,3,3,2,3,2,3,3,2,24,Severe Depression,FALSE
